微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IAJ4OkM1P,Lights! Camera! Action! 小米10，1亿像素8K相机、专业屏幕、立体声，专业级的影音待遇。#小米10# 小米国际吉姆的微博视频   ,无,"http://f.video.weibocdn.com/GgJdf8LOlx07C370DqdW010412001KbI0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=1d826f6f1a11607b0eef762fee9b15cd&Expires=1586151390&ssig=2peLhSpMNV&KID=unistore,video",无,2020-03-28 19:16,小米10 Pro,2276,62,358
IAGw22TKf,一亿像素的超高解析力，特别适合再创作。小米手机的秒拍视频#小米10#  ,无,"http://miaopai.video.weibocdn.com/L8j73l82lx07C34Nzeog01041200crtg0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586151391&ssig=ayTenAMNjB&KID=unistore,video",无,2020-03-28 12:45,小米10 Pro,2500,115,541
IAGeximyt,国际运营商也喜欢小米10。沃达丰的德国官网最快上线了#小米10# ，并成为主推机型。  原图 ,http://wx3.sinaimg.cn/large/68418ffbly1gd9cyg7w9dj20db0dwjs6.jpg,无,无,2020-03-28 12:02,小米10 Pro,14027,115,1208
IAFd3iY02,昨晚#小米10# 国际发布会一结束，在法国就登上了Google热搜第三名。看来，小米10在欧洲还是很受欢迎。  原图 ,http://wx1.sinaimg.cn/large/68418ffbly1gd9czoc3hnj21hs0u0tin.jpg,无,无,2020-03-28 09:25,小米10 Pro,16907,137,2185
IAEUBqkrF,小米10国际发布会的15秒短视频来了！小米在欧洲已捐赠超过一百万只口罩，让我们一起共渡难关。小米10系列终于走上世界舞台，国际业务部总裁@周受资 发布会首秀，最后5款生态链压轴亮相。#小米10# 雷军的微博视频  ,无,"http://f.video.weibocdn.com/DiEflNx5lx07C2Tdte2Q010412001P7v0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586151391&ssig=f%2Fnzz1kI13&KID=unistore,video",无,2020-03-28 08:40,小米10 Pro,4219,0,0
IAB5Yy3hz,附上#小米10# 国际发布会全程回顾视频，大家再复习一下小米10和小米10 Pro  随便练一下英文听力，中文字幕版还在准备。小米手机的微博视频  ,无,"http://f.video.weibocdn.com/PZJwiuVDlx07C2eJzPsY01041208ZxWP0E040.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586151391&ssig=csTaGZ%2B5yg&KID=unistore,video",无,2020-03-27 22:57,小米10 Pro,8403,452,1013
IAB3WECy8,DXOMARK 今天说，#小米10pro# 是视频录制的首选设备。  原图 ,http://wx1.sinaimg.cn/large/68418ffbly1gd8vdkf9a0j20u00uljwy.jpg,无,无,2020-03-27 22:52,小米10 Pro,3804,73,521
IAB3O7055,截止到今天，#小米10pro# DXO霸榜一个半月 DXOMARK 今天说，#小米10pro# 拍摄照片时目标曝光稳定且准确，并且动态范围得到了改善……  原图 ,http://wx3.sinaimg.cn/large/68418ffbly1gd8vg82p34j20u012dq71.jpg,无,无,2020-03-27 22:52,小米10 Pro,4189,58,689
IAAV60KnK,小米国际团队为#小米10#系列手机精心制作了一支宣传视频。小米手机的秒拍视频  ,无,"http://miaopai.video.weibocdn.com/5xlgZ0pAlx07C2aWV4Ck01041200wzr80E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586151392&ssig=bJ1q4geL2H&KID=unistore,video",无,2020-03-27 22:30,小米10 Pro,5569,197,537
IAAOy0gWl,小米10的国际发布会已结束，我们会将全程回顾视频放出，敬请期待。大家看看欧洲的定价：小米10：8GB+128GB版，定价799欧元小米10 Pro：8GB+256GB版，定价999欧元#小米10#  原图 ,http://wx3.sinaimg.cn/large/68418ffbly1gd8ue2a08yj21900u0q87.jpg,无,无,2020-03-27 22:14,小米10 Pro,12446,371,1757
IAAqm5c02,小米10 国际发布会，是由小米国际部总裁@周受资 主讲。#小米10#  [组图共2张] 原图 ,"http://ww4.sinaimg.cn/large/68418ffbly1gd8ulrhg3mj22vm1x3u0x.jpg,http://ww4.sinaimg.cn/large/68418ffbly1gd8ulqxhnrj21a30u040w.jpg",无,无,2020-03-27 21:14,小米10 Pro,3099,55,381
IAzYxw1OD,#小米10# 欧洲发布会，就在晚上九点。  原图 ,http://wx4.sinaimg.cn/large/68418ffbly1gd8qpli5xyg20a00a0h7j.gif,无,无,2020-03-27 20:06,小米10 Pro,7838,89,1165
IAzDcC3iB,我做了一个小调查，结论非常清晰：现在的用户喜欢超小孔的挖孔屏和竖向一排摄像头的设计。我相信，这是#小米10# 受欢迎的原因之一。小米品牌第一次冲击高端市场，我们采用了非常稳健的风格。  [组图共3张] 原图 ,"http://ww4.sinaimg.cn/large/68418ffbly1gd8k0b0pofj20u00w40x6.jpg,http://ww2.sinaimg.cn/large/68418ffbly1gd8k0b6t6jj20u00s0ad5.jpg,http://ww1.sinaimg.cn/large/68418ffbly1gd8k0aknwij21bf0zkq9b.jpg",无,无,2020-03-27 19:13,小米10 Pro,6911,202,1394
IAvGSxrNy,"小米10/小米10 Pro, Redmi K30 Pro, 小米商城上午十点开放购买。  原图 ",http://wx4.sinaimg.cn/large/68418ffbly1gd87sczak3j21400u00v9.jpg,无,无,2020-03-27 09:11,小米10 Pro,5556,71,1265
IAs0min5v,桃花。via http://t.cn/A6Z2QV46SHOT ON #小米10pro#  原图 ,http://wx1.sinaimg.cn/large/68418ffbly1gd7iqzcvcpj20u00u0gpo.jpg,无,无,2020-03-26 23:48,小米10 Pro,3999,48,796
IAqM9nGpP,各家旗舰机的相机形状也是各种各样。#小米10# 你喜欢哪种相机形状？  ,无,无,无,2020-03-26 20:41,小米10 Pro,83506,135,1775
IApM2uV9e,由于没有完美方案，各家的旗舰机采用了不同的全面屏方案。你会买哪一种？目前采用单孔的挖孔屏最多。#小米10# 不同的全面屏方案  ,无,无,无,2020-03-26 18:08,小米10 Pro,26188,92,1397
