address	averagePriceTip	deliveryTimeTip	deliveryType	discounts2	distance	minPriceTip	monthSalesTip	mtWmPoiId	origin_shipping_fee_tip	picUrl	poiTypeIcon	poi_name	shippingFeeTip	shipping_time	shopName	status	statusDesc	wmPoiScore
"田园镇龙泉社区聚龙新村46号"	人均 ¥30	30分钟	1	"[ { ""info"" : ""满30减3;满50减5"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 } ]"	2.0km	起送 ¥0	月售800	1060428628545906		http://p0.meituan.net/waimaipoi/4e18f4d168e672391530839dec17c02252192.jpg		昌宁人民医院	配送 ¥3	00:00-04:00,09:00-09:30,13:00-23:59	牛屎沟夺命小串串	3	休息中	42
"文昌街7号附近"	人均 ¥19	30分钟	1		1.3km	起送 ¥0	月售500	1113754942477621		http://p1.meituan.net/waimaipoi/31c9fb949577a47055ca2a5a5aa6b4c321301.jpg		昌宁人民医院	配送 ¥3	00:00-01:40,09:00-23:59	红利浆米线铺	3	休息中	45
"武华路42号附近"	人均 ¥13	30分钟	1		610m	起送 ¥0	月售700	872055657883734		http://p1.meituan.net/waimaipoi/4d6ca143134f1a5edcf6079044d0e59128272.jpg		昌宁人民医院	配送 ¥3	07:00-14:00	保山浆米线	3	休息中	44
"保山市昌宁县田园镇关庙社区居民委员会滨河西路（烟草小区门口）"		30分钟	1		611m	起送 ¥0	月售37	1086331576271599		http://p0.meituan.net/waimaipoi/18eda5f455cb6427f145f3364b36a8ab11443.jpg		昌宁人民医院	配送 ¥3	11:00-19:30	88号保山火烧肉豆粉	3	休息中	0
"保山市昌宁县田园镇龙井社区居民委员会十字路安置区（妇幼保健院旁）"	人均 ¥13	30分钟	1	"[ { ""info"" : ""满20减6;满30减9"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 }, { ""info"" : ""折扣商品3折起"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/3da2d9c7a4ddf89e4e71cfdfff168c391088.png"", ""promotionType"" : 2, ""activityId"" : 17 } ]"	1.3km	起送 ¥0	月售800	1098434794111704		http://p0.meituan.net/waimaipoi/6f33fc1dce35bbd5f2b8e2960ebb7f9b65605.jpg		昌宁人民医院	配送 ¥3	00:00-01:00,08:00-23:59	花町	3	休息中	44
"田园镇文昌社区居民委员会福惠路西侧（隆祥花园）"		30分钟	1	"[ { ""info"" : ""满40减15"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 } ]"	1.7km	起送 ¥0	月售300	898478296694281		http://p0.meituan.net/business/986447e13f1b3d2830ac31d00e372c6642009.jpg		昌宁人民医院	配送 ¥3	00:00-02:00,20:00-23:59	辣些年8090烧烤店	3	休息中	44
"田园镇宝丰社区居民委员会宝丰路（糖缘酒店对面）"		30分钟	1	"[ { ""info"" : ""满20减10;满40减20"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 }, { ""info"" : ""折扣商品9折起"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/3da2d9c7a4ddf89e4e71cfdfff168c391088.png"", ""promotionType"" : 2, ""activityId"" : 17 } ]"	1.5km	起送 ¥0	月售40	872407845223711		http://p0.meituan.net/waimaipoi/12c5404242eb796f27f7cf877762fe3337393.jpg		昌宁人民医院	配送 ¥3	00:00-02:00,19:00-23:59	阿凡烧烤	3	休息中	47
"云南省保山市昌宁县田园镇兴宁街"		30分钟	1	"[ { ""info"" : ""满20减1;满40减2;满60减3;满80减4;满100减5"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 } ]"	691m	起送 ¥0	月售200	1056992654689039		http://p1.meituan.net/waimaipoi/85c9e0c8a605f0c4069efc777858ad0831082.jpg		昌宁人民医院	配送 ¥3	07:00-14:00	好有味蒙自带皮小黄牛米线	3	休息中	44
"保山市昌宁县田园镇关庙社区居民委员会武华小区188号"		30分钟	1		495m	起送 ¥0	月售100	978210069597420		http://p0.meituan.net/business/e824f15ab9e59efb98b06e1af5c7a8c740310.jpg		昌宁人民医院	配送 ¥3	11:00-21:00	芒市甘英泡鸡脚（昌宁店）	3	休息中	0
"兴宁街富德广场"	人均 ¥27	30分钟	1		2.2km	起送 ¥0	月售100	869431432897955		http://p1.meituan.net/waimaipoi/704bb572673cdc7b94416494021c8b3436044.jpg		昌宁人民医院	配送 ¥3	08:00-23:56	乐享绝味	3	休息中	36
"田园镇南小区农贸市场"		30分钟	1		1.6km	起送 ¥0	月售200	852041110258505		http://p1.meituan.net/waimaipoi/8c4c100aad46388d51e6e8c18a2849b516521.jpg		昌宁人民医院	配送 ¥3	00:00-03:00,20:00-23:59	老忠活螃蟹	3	休息中	0
"田园镇文昌街上段"		30分钟	1	"[ { ""info"" : ""满20减2;满40减5;满60减7"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 } ]"	1.7km	起送 ¥0	月售100	933959021554524		http://p1.meituan.net/waimaipoi/1ddb3a6fc034140bc527abbf764bc81222548.jpg		昌宁人民医院	配送 ¥3	00:00-03:00,19:00-23:59	芒市风味春福傣味烧烤店	3	休息中	48
"右甸东路72附近"		30分钟	1		969m	起送 ¥0	月售100	1071836061641671		http://p0.meituan.net/waimaipoi/856435fc730df39ab67bc317c0add69f43008.jpg		昌宁人民医院	配送 ¥3	00:00-03:00,09:00-18:15,19:30-23:59	老五傣香烧烤	3	休息中	0
"田园镇文昌社区居民委员会福惠路以西、环城北路以南、文昌路以北（隆祥花园16幢15号）"		30分钟	1	"[ { ""info"" : ""满20减2;满40减4"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 } ]"	1.7km	起送 ¥0	月售43	901832666168762		http://p0.meituan.net/waimaipoi/29dc1e8359ef80ca8a4881adde1a61f619635.jpg		昌宁人民医院	配送 ¥3	07:00-18:00	满香园小笼包	3	休息中	0
"云南省保山市昌宁县田园镇文昌社区周家坡居民小组"		30分钟	1		2.4km	起送 ¥0	月售71	1035015307036759		http://p1.meituan.net/business/80d4083e4f7a22a4a1ee5f30f0c5eff159470.jpg		昌宁人民医院	配送 ¥3	07:00-23:59	食膳轩	3	休息中	0
"文昌街西段"	人均 ¥19	30分钟	1	"[ { ""info"" : ""满50减5;满100减10"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 } ]"	1.7km	起送 ¥0	月售600	845413975782361		http://p1.meituan.net/waimaipoi/a758800fa0e5ff29ca5fb37a4858fbef25080.jpg		昌宁人民医院	配送 ¥3	00:01-02:30,10:00-23:59	吴老酒烧烤	3	休息中	48
"田园镇宝丰路西侧"		30分钟	1	"[ { ""info"" : ""满20减4;满30减7;满50减10"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 } ]"	1.1km	起送 ¥0	月售200	864784278248099		http://p0.meituan.net/waimaipoi/def52b2737a099df8e894512f8378e2d30462.jpg		昌宁人民医院	配送 ¥3	00:00-03:00,09:00-11:15,19:30-23:59	一元王	3	休息中	46
